GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-ecommerce,com.ecom.ecommerce.controller,CheckoutController,21,6,0,0,5,3,2,1,2,1
spring-boot-ecommerce,com.ecom.ecommerce.service,CheckoutServiceImpl,103,8,2,0,25,4,5,1,4,1
spring-boot-ecommerce,com.ecom.ecommerce.config,MyDataRestConfig,8,111,0,2,0,25,2,5,2,4
spring-boot-ecommerce,com.ecom.ecommerce.config,SecurityConfiguration,0,30,0,0,0,11,0,2,0,2
spring-boot-ecommerce,com.ecom.ecommerce.config,MyAppConfig,0,13,0,0,0,3,0,2,0,2
spring-boot-ecommerce,com.ecom.ecommerce.config,MessageBuilder,0,26,0,4,0,6,0,4,0,2
spring-boot-ecommerce,com.ecom.ecommerce,SpringBootEcommerceApplication,5,3,0,0,2,1,1,1,1,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,ProductCategory,21,3,0,0,4,1,6,1,6,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,Customer,54,8,4,0,12,2,13,1,11,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,Address,49,3,0,0,8,1,14,1,14,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,Product,442,3,84,0,11,1,68,1,26,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,Order,96,8,4,0,18,2,25,1,23,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,State,135,3,24,0,3,1,22,1,10,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,Country,28,3,0,0,5,1,8,1,8,1
spring-boot-ecommerce,com.ecom.ecommerce.entity,OrderItem,42,3,0,0,7,1,12,1,12,1
spring-boot-ecommerce,com.ecom.ecommerce.dto,PurchaseResponse,74,0,14,0,2,0,13,0,6,0
spring-boot-ecommerce,com.ecom.ecommerce.dto,Purchase,235,0,46,0,6,0,38,0,15,0
spring-boot-ecommerce,com.ecom.ecommerce.dto,PaymentInfo,138,0,24,0,4,0,23,0,11,0
